Cartella,File,Phi_Value,Kuramoto_r,Delta_Invariante,Inferred_State
MODEL_FORECATS,results_simulation_smoothing5_1697.csv,8.11e+00,5.7465,4.8965,FASE CRITICA (Rischio Collasso)
VAR&VARMAX,results_varmax_stata.csv,nan,,,FLUSSO DINAMICO (Healthy)
AUTO_SYSTEM,2016-06-29.csv,nan,,,FLUSSO DINAMICO (Healthy)
AUTO_SYSTEM,2016-07-29.csv,nan,,,FLUSSO DINAMICO (Healthy)
AUTO_SYSTEM,AUDIT_PIPELINES.csv,3.56e+02,820.0632,819.2132,FASE CRITICA (Rischio Collasso)
AUTO_SYSTEM,bmt_289.csv,6.84e+02,0.0005,0.8495,FLUSSO DINAMICO (Healthy)
AUTO_SYSTEM,bmt.csv,6.84e+02,0.0005,0.8495,FLUSSO DINAMICO (Healthy)
AUTO_SYSTEM,bootleg_852.csv,5.04e+04,0.001,0.849,FLUSSO DINAMICO (Healthy)
AUTO_SYSTEM,bootleg.csv,5.04e+04,0.001,0.849,FLUSSO DINAMICO (Healthy)
AUTO_SYSTEM,breast_cancer_235.csv,1.48e+02,5225.8353,5224.9853,FASE CRITICA (Rischio Collasso)
AUTO_SYSTEM,breast_cancer_471.csv,1.48e+02,4995.1406,4994.2906,FASE CRITICA (Rischio Collasso)
AUTO_SYSTEM,breast_cancer.csv,1.48e+02,4805.1981,4804.3481,FASE CRITICA (Rischio Collasso)
AUTO_SYSTEM,cancer.csv,1.22e+03,0.0,0.85,FLUSSO DINAMICO (Healthy)
AUTO_SYSTEM,cfa_tvpvar_invP_955.csv,7.05e+01,102.1437,101.2937,FASE CRITICA (Rischio Collasso)
AUTO_SYSTEM,cfa_tvpvar_invP.csv,7.05e+01,110.0923,109.2423,FASE CRITICA (Rischio Collasso)
AUTO_SYSTEM,clark1989_545.csv,5.99e+02,0.0002,0.8498,FLUSSO DINAMICO (Healthy)
AUTO_SYSTEM,clark1989.csv,5.99e+02,0.0002,0.8498,FLUSSO DINAMICO (Healthy)
AUTO_SYSTEM,co2.csv,6.14e+03,0.0,0.85,FLUSSO DINAMICO (Healthy)
AUTO_SYSTEM,dietox.csv,2.74e+02,0.0005,0.8495,FLUSSO DINAMICO (Healthy)
AUTO_SYSTEM,dosenbach_2010.csv,1.10e+02,0.0062,0.8438,FLUSSO DINAMICO (Healthy)
AUTO_SYSTEM,enet_binomial_277.csv,1.43e+02,0.2359,0.6141,FLUSSO DINAMICO (Healthy)
AUTO_SYSTEM,enet_binomial.csv,1.43e+02,0.2359,0.6141,FLUSSO DINAMICO (Healthy)
AUTO_SYSTEM,engel.csv,1.29e+03,0.0006,0.8494,FLUSSO DINAMICO (Healthy)
AUTO_SYSTEM,fair_pt_597.csv,1.03e+03,0.0004,0.8496,FLUSSO DINAMICO (Healthy)
AUTO_SYSTEM,fair_pt.csv,1.03e+03,0.0004,0.8496,FLUSSO DINAMICO (Healthy)
AUTO_SYSTEM,fair.csv,1.12e+04,636.3396,635.4896,FASE CRITICA (Rischio Collasso)
AUTO_SYSTEM,fertility.csv,nan,,,FLUSSO DINAMICO (Healthy)
AUTO_SYSTEM,framing.csv,1.83e+02,0.0038,0.8462,FLUSSO DINAMICO (Healthy)
AUTO_SYSTEM,formula_test_all_20260215_100355.csv,1.84e+03,0.0025,0.8475,FLUSSO DINAMICO (Healthy)
AUTO_SYSTEM,housing-data_332.csv,1.63e+03,0.0063,0.8437,FLUSSO DINAMICO (Healthy)
AUTO_SYSTEM,housing-data.csv,1.63e+03,0.0063,0.8437,FLUSSO DINAMICO (Healthy)
AUTO_SYSTEM,iris_767.csv,5.02e+01,0.2265,0.6235,FLUSSO DINAMICO (Healthy)
AUTO_SYSTEM,iris_976.csv,5.00e+01,0.2262,0.6238,FLUSSO DINAMICO (Healthy)
AUTO_SYSTEM,iris.csv,5.00e+01,0.2262,0.6238,FLUSSO DINAMICO (Healthy)
AUTO_SYSTEM,lme00.csv,6.86e+01,0.0102,0.8398,FLUSSO DINAMICO (Healthy)
AUTO_SYSTEM,lme02.csv,6.86e+01,0.0101,0.8399,FLUSSO DINAMICO (Healthy)
AUTO_SYSTEM,lme03.csv,6.86e+01,0.0103,0.8397,FLUSSO DINAMICO (Healthy)
AUTO_SYSTEM,lme04_909.csv,6.86e+01,0.0101,0.8399,FLUSSO DINAMICO (Healthy)
AUTO_SYSTEM,lme04.csv,6.86e+01,0.0101,0.8399,FLUSSO DINAMICO (Healthy)
AUTO_SYSTEM,lme05_184.csv,6.86e+01,0.0101,0.8399,FLUSSO DINAMICO (Healthy)
AUTO_SYSTEM,lme05.csv,6.86e+01,0.0101,0.8399,FLUSSO DINAMICO (Healthy)
AUTO_SYSTEM,lme06.csv,6.86e+01,0.0102,0.8398,FLUSSO DINAMICO (Healthy)
AUTO_SYSTEM,lme07_890.csv,6.86e+01,0.0101,0.8399,FLUSSO DINAMICO (Healthy)
AUTO_SYSTEM,lme07.csv,6.86e+01,0.0101,0.8399,FLUSSO DINAMICO (Healthy)
AUTO_SYSTEM,lme08_846.csv,6.86e+01,0.0101,0.8399,FLUSSO DINAMICO (Healthy)
AUTO_SYSTEM,lme08.csv,6.86e+01,0.0101,0.8399,FLUSSO DINAMICO (Healthy)
AUTO_SYSTEM,lme09_1062.csv,6.86e+01,0.0101,0.8399,FLUSSO DINAMICO (Healthy)
AUTO_SYSTEM,macrodata.csv,7.85e+02,0.0001,0.8499,FLUSSO DINAMICO (Healthy)
AUTO_SYSTEM,master_ok.csv,4.65e+03,0.0002,0.8498,FLUSSO DINAMICO (Healthy)
AUTO_SYSTEM,motorcycle_616.csv,3.38e+02,0.0063,0.8437,FLUSSO DINAMICO (Healthy)
AUTO_SYSTEM,motorcycle.csv,3.38e+02,0.0063,0.8437,FLUSSO DINAMICO (Healthy)
AUTO_SYSTEM,mt19937-testset-1_306.csv,6.92e+02,0.001,0.849,FLUSSO DINAMICO (Healthy)
AUTO_SYSTEM,mt19937-testset-1_670.csv,6.92e+02,0.001,0.849,FLUSSO DINAMICO (Healthy)
AUTO_SYSTEM,mt19937-testset-1.csv,6.92e+02,0.001,0.849,FLUSSO DINAMICO (Healthy)
AUTO_SYSTEM,mt19937-testset-2_1006.csv,6.92e+02,0.001,0.849,FLUSSO DINAMICO (Healthy)
AUTO_SYSTEM,mt19937-testset-2.csv,6.92e+02,0.001,0.849,FLUSSO DINAMICO (Healthy)
AUTO_SYSTEM,mstl_elec_vic_731.csv,1.95e+04,0.0002,0.8498,FLUSSO DINAMICO (Healthy)
